Technique ID,Technique Name,Sentences
T1543,Create or Modify System Process: Windows Service,Carbanak malware installs itself as a service to provide persistence and SYSTEM privileges.[1]
T1562,Impair Defenses: Disable or Modify System Firewall,Carbanak may use netsh to add local firewall rule exceptions.[7]
T1036,Masquerading: Masquerade Task or Service,Carbanak has copied legitimate service names to use for malicious services.[1]
T1036,Masquerading: Match Legitimate Name or Location,"Carbanak has named malware ""svchost.exe,"" which is the name of the Windows shared service host program.[1]"
T1588,Obtain Capabilities: Tool,Carbanak has obtained and used open-source tools such as PsExec and Mimikatz.[1]
T1219,Remote Access Software,Carbanak used legitimate programs such as AmmyyAdmin and Team Viewer for remote interactive C2 to target systems.[7]
T1218,System Binary Proxy Execution: Rundll32,Carbanak installs VNC server software that executes through rundll32.[1]
T1078,Valid Accounts,Carbanak actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.[1]
T1102,Web Service: Bidirectional Communication,"Carbanak has used a VBScript named ""ggldr"" that uses Google Apps Script, Sheets, and Forms services for C2.[8]"
T1071,Application Layer Protocol: Web Protocols,SilverTerrier uses HTTP for C2 communications.[1]
T1071,Application Layer Protocol: File Transfer Protocols,SilverTerrier uses FTP for C2 communications.[1]
T1071,Application Layer Protocol: Mail Protocols,SilverTerrier uses SMTP for C2 communications.[1]
T1119,Automated Collection,"Frankenstein has enumerated hosts via Empire, gathering the username, domain name, machine name, and other system information.[1]"
T1020,Automated Exfiltration,"Frankenstein has collected information via Empire, which is automatically sent the data back to the adversary's C2.[1]"
T1059,Command and Scripting Interpreter: PowerShell,"Frankenstein has used PowerShell to run a series of base64-encoded commands, that acted as a stager and enumerated hosts.[1]"
T1059,Command and Scripting Interpreter: Windows Command Shell,"Frankenstein has run a command script to set up persistence as a scheduled task named ""WinUpdate"", as well as other encoded commands from the command-line.[1]"
T1059,Command and Scripting Interpreter: Visual Basic,Frankenstein has used Word documents that prompts the victim to enable macros and run a Visual Basic script.[1]
T1005,Data from Local System,"Frankenstein has enumerated hosts via Empire, gathering various local system information.[1]"
T1140,Deobfuscate/Decode Files or Information,"Frankenstein has deobfuscated base64-encoded commands following the execution of a malicious script, which revealed a small script designed to obtain an additional payload.[1]"
T1573,Encrypted Channel: Symmetric Cryptography,Frankenstein has communicated with a C2 via an encrypted RC4 byte stream and AES-CBC.[1]
T1041,Exfiltration Over C2 Channel,"Frankenstein has collected information via Empire, which is automatically sent the data back to the adversary's C2.[1]"
T1203,Exploitation for Client Execution,Frankenstein has used CVE-2017-11882 to execute code on the victim's machine.[1]
T1105,Ingress Tool Transfer,Frankenstein has uploaded and downloaded files to utilize additional plugins.[1]
T1027,Obfuscated Files or Information,Frankenstein has run encoded commands from the command line.[1]
T1588,Obtain Capabilities: Tool,Frankenstein has obtained and used Empire to deploy agents.[1]
T1003,OS Credential Dumping,Frankenstein has harvested credentials from the victim's machine using Empire.[1]
T1566,Phishing: Spearphishing Attachment,Frankenstein has used spearphishing emails to send trojanized Microsoft Word documents.[1]
T1057,Process Discovery,"Frankenstein has enumerated hosts, looking to obtain a list of all currently running processes.[1]"
T1053,Scheduled Task/Job: Scheduled Task,"Frankenstein has established persistence through a scheduled task using the command: /Create /F /SC DAILY /ST 09:00 /TN WinUpdate /TR , named ""WinUpdate"".[1]"
T1518,Software Discovery: Security Software Discovery,Frankenstein has used WMI queries to detect if virtualization environments or analysis tools were running on the system.[1]
T1082,System Information Discovery,"Frankenstein has enumerated hosts, looking for the system's machine name.[1]"
T1016,System Network Configuration Discovery,"Frankenstein has enumerated hosts, looking for the public IP address of the system.[1]"
T1033,System Owner/User Discovery,"Frankenstein has enumerated hosts, gathering username, machine name, and administrative permissions information.[1]"
T1221,Template Injection,Frankenstein has used trojanized documents that retrieve remote templates from an adversary-controlled website.[1]
T1127,Trusted Developer Utilities Proxy Execution: MSBuild,Frankenstein has used MSbuild to execute an actor-created file.[1]
T1204,User Execution: Malicious File,"Frankenstein has used trojanized Microsoft Word documents sent via email, which prompted the victim to enable macros.[1]"
T1497,Virtualization/Sandbox Evasion: System Checks,"Frankenstein has used WMI queries to check if various security applications were running, including VMWare and Virtualbox.[1]"
T1047,Windows Management Instrumentation,"Frankenstein has used WMI queries to check if various security applications were running, as well as the operating system version.[1]"
T1584,Compromise Infrastructure: Server,APT16 has compromised otherwise legitimate sites as staging servers for second-stage payloads.[1]
